text,locale,variations,tags,severity,adjective,adverb,collapseDoubles,filterMode,noun,replacePhonetics,verb,definition,entryIgnores
adams,es,,Names-Last,medium,FALSE,FALSE,FALSE,embeddable,FALSE,FALSE,FALSE,,
add dess,en,,Disney;PII,medium,FALSE,FALSE,FALSE,embeddable,FALSE,FALSE,FALSE,,
add me to im,en,add me 2 im,PII,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
add rest,en,,Disney;PII,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,address,
addict,en,,Alcohol-Drug,medium,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,TRUE,"Noun
Someone who uses drugs without the ability to stop.
Verb
To take drugs without the ability to stop.",
addiction,en,,Alcohol-Drug,medium,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,To be addicted to something.,
addictive,en,,Alcohol-Drug,mild,TRUE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,When something causes an addiction,
address,en,addres;addy;adr;adress,PII,medium,FALSE,FALSE,FALSE,embeddable,FALSE,FALSE,FALSE,,
addresse,no,,PII,severe,FALSE,FALSE,FALSE,embeddable,TRUE,FALSE,FALSE,address,
adjuntas,es,,Places,medium,FALSE,FALSE,FALSE,nonEmbeddable,FALSE,FALSE,FALSE,City in Puerto Rico,
adolf,de,adolph,Bigotry-Racism,medium,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,,
adolf hitler,en,adolf;hitler;hitlr,Bigotry-Racism,medium,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,"Adolf Hilter, the leader of the Germans during WW2.",
adopt,en,,Disney,mild,FALSE,FALSE,TRUE,nonEmbeddable,TRUE,TRUE,TRUE,,
adoptivnitte,da,,Bullying,high,FALSE,FALSE,FALSE,embeddable,TRUE,TRUE,FALSE,derogative term for asian person,
adresse,da,,Grooming,high,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,address,
adresse,de,,PII,medium,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,,
adresse,fr,,PII,medium,TRUE,TRUE,FALSE,nonEmbeddable,TRUE,FALSE,TRUE,,
adult books,en,,Disney;Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
adult fun,en,,Disney;Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
adult magazine,en,,Disney;Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
adult site,en,,Disney;Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
adult toy,en,,Disney;Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
adulterer,en,adulteress;adulteries,Sexual,medium,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,Someone who has sexual relations with someone other than their wife/husband.,eerie
adulterio,es,adulterar;adultero,Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,TRUE,,
adulterous,en,,Sexual,medium,TRUE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,Someone who has sexual relations with someone other than their wife/husband.,
adulterously,en,,Sexual,medium,FALSE,TRUE,TRUE,embeddable,FALSE,TRUE,FALSE,Someone who has sexual relations with someone other than their wife/husband.,
adultery,en,adulterise;adulterize,Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,TRUE,To have sexual relations with someone other than your wife/husband.,
adults only,en,,Disney;Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
adultÃ¨re,fr,,Sexual,medium,TRUE,TRUE,TRUE,embeddable,TRUE,TRUE,TRUE,,
adventiste,fr,,Bigotry-Racism,medium,TRUE,TRUE,TRUE,embeddable,TRUE,TRUE,TRUE,,
affair,en,affaire,Grooming;Sexual,medium,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,To have sexual relations with someone other than your wife/husband.,
affanculo,it,,Vulgarity,severe,FALSE,FALSE,TRUE,nonEmbeddable,FALSE,TRUE,FALSE,Expression: Fuck it all!,
affÃ_re,da,,Grooming;Sexual,medium,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,affair,
affÃ¸ring,da,,Vulgarity,high,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,excrement,
afhÃ_ngig,da,afhÃ_ngighed,Alcohol-Drug,mild,TRUE,FALSE,FALSE,embeddable,FALSE,TRUE,FALSE,dependency,
afilar,es,,Disney;Weapons,mild,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,to sharppen,
afk in,en,,Disney;Vulgarity,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
afoga o ganso,pt,,Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,TRUE,,
afogar,pt,,Sexual;Violence,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,TRUE,,
africain,fr,,Bigotry-Racism,medium,TRUE,TRUE,TRUE,nonEmbeddable,TRUE,TRUE,TRUE,,
afrodisÃ_aco,pt,,Sexual,medium,TRUE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
afskum,da,,Bullying,mild,TRUE,FALSE,FALSE,embeddable,FALSE,TRUE,FALSE,human garbage; scumbag,
afsuntning,da,,Microsoft,medium,FALSE,FALSE,FALSE,embeddable,FALSE,FALSE,TRUE,,
afsutning,da,,Bullying,high,FALSE,FALSE,TRUE,exactMatch,TRUE,TRUE,FALSE,afsutning,
after,de,,Sexual,medium,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,,
after cool,en,,Disney,none,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
after kissing your,en,,Disney;Sexual,medium,FALSE,FALSE,FALSE,embeddable,FALSE,FALSE,FALSE,,
after placing my,en,,Disney;Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
aftrekken,nl,,Vulgarity,high,FALSE,FALSE,TRUE,nonEmbeddable,FALSE,TRUE,TRUE,Jerk off,
afvÃ_nding,da,,Alcohol-Drug,mild,FALSE,FALSE,FALSE,embeddable,TRUE,TRUE,FALSE,rehab,
